软件,描述,官网地址,下载渠道,包管理
Adobe,Adobe 正通过数字体验改变世界,[官网地址](https://www.adobe.com/cn/),[哔哩主页](https://space.bilibili.com/252157636),
剪映,全能易用的桌面端剪辑软件-轻而易剪 上演大幕,[官网地址](https://www.capcut.cn/),,
