软件,描述,官网地址,下载渠道,包管理
MPV,高手推荐的跨平台全能视频播放器！开源、简约、键盘流、配置灵活,[官网地址](https://mpv.io/),,
VLC,是一款自由、开源的跨平台多媒体播放器,[官网地址](https://www.videolan.org/vlc/index.zh_CN.html),,
