软件,描述,官网地址,下载渠道,包管理
7-Zip,有极高压缩比的开源压缩软件,[官网地址](https://www.7-zip.org/),,
360 压缩,压缩格式多 免费无广告,[官网地址](https://yasuo.360.cn),,
