软件,描述,官网地址,下载渠道,包管理
Arc,未来的浏览器,[官网地址](https://arc.net/),,
Edge,新界面更加清爽现代化,[官网地址](https://www.microsoft.com/zh-cn/edge),,
Edge-dev,新界面更加清爽现代化,[官网地址](https://www.microsoft.com/zh-cn/edge),,
Chrome,最强的浏览器 没有对手的存在,[官网地址](https://www.google.cn/chrome/),,
Firefox,号称最快的浏览器 用的还行,[官网地址](https://www.firefox.com.cn),,
