软件,描述,官网地址,下载渠道,包管理
迅雷,更快 但不止于快,[官网地址](https://dl.xunlei.com),,
BitTorrent Tracker,全网热门 BitTorrent Tracker 列表！,[官网地址](https://trackerslist.com/),,
