软件,描述,官网地址,下载渠道,包管理
VirtualBox,VirtualBox is a powerful x86 and AMD64/Intel64 virtualization product for enterprise as well as home use.,[官网地址](https://www.virtualbox.org/),,
VMware,Develop and Test for Any Platform With VMware Desktop Hypervisors,[官网地址](https://www.vmware.com/products/desktop-hypervisor/workstation-and-fusion),,
