软件,描述,官网地址,下载渠道,包管理
百度网盘,基本必须下载的网盘 主要资源多,[官网地址](http://pan.baidu.com/download),,
坚果云,帮助企业中的变革者改善工作效率和方法,[官网地址](https://www.jianguoyun.com/s/downloads),,
